location_id,folder_name,address,image_count,year_range,years
loc_001,1208_REDBUD_ST_CHARLOTTE_NC,1208 Redbud St Charlotte NC,6,2008-2022,2008;2009;2011;2015;2019;2022
loc_002,1307_HATERAS_AVE_CHARLOTTE_NC,1307 Hateras Ave Charlotte NC,5,2008-2022,2008;2009;2011;2019;2022
loc_003,1313_HATERAS_AVE_CHARLOTTE_NC,1313 Hateras Ave Charlotte NC,5,2008-2022,2008;2009;2011;2019;2022
loc_004,1315_BEATTIES_FORD_RD_CHARLOTTE_NC,1315 Beatties Ford Rd Charlotte NC,13,2007-2024,2007;2008;2009;2011;2014;2015;2016;2017;2018;2019;2021;2022;2024
loc_005,1315_HATERAS_AVE_CHARLOTTE_NC,1315 Hateras Ave Charlotte NC,5,2008-2022,2008;2009;2011;2019;2022
loc_006,1320_LASALLE_ST_CHARLOTTE_NC,1320 LaSalle St Charlotte NC,12,2008-2022,2008;2009;2011;2012;2014;2015;2016;2017;2018;2019;2021;2022
loc_007,1321_HATERAS_AVE_CHARLOTTE_NC,1321 Hateras Ave Charlotte NC,5,2008-2022,2008;2009;2011;2019;2022
loc_008,1327_BEATTIES_FORD_RD_CHARLOTTE_NC,1327 Beatties Ford Rd Charlotte NC,13,2007-2024,2007;2008;2009;2011;2014;2015;2016;2017;2018;2019;2021;2022;2024
loc_009,1341_LASALLE_ST_CHARLOTTE_NC,1341 LaSalle St Charlotte NC,12,2008-2022,2008;2009;2011;2012;2014;2015;2016;2017;2018;2019;2021;2022
loc_010,1400_LASALLE_ST_CHARLOTTE_NC,1400 LaSalle St Charlotte NC,12,2008-2022,2008;2009;2011;2012;2014;2015;2016;2017;2018;2019;2021;2022
